transaction_id,user_id,timestamp,amount,transaction_type,payment_method
"f9df9bdd-ebb8-499e-a2fd-cd91122fe71b","687cc0b3-b049-4313-ab78-65b7bcae9297","2026-05-25T01:57:10.957Z",114374,"Utility Bill","USSD"
"fc4bb071-4839-4fa8-b904-f28bde23dc1c","ae11dad6-5f14-4fda-bf4b-8e33798be995","2026-05-25T09:38:56.084Z",126476,"Betting Wallet Top-up","USSD"
"3e9b4607-5014-442f-a3dc-f29fd75db9fa","a5c3f7e5-7b23-4930-aeb6-6f45a45bcf89","2026-05-25T01:52:11.333Z",15869,"Betting Wallet Top-up","Cards"
"9af3c8a1-cce7-4221-a757-d920d9031f17","3d9570fc-f645-4084-bf1d-c8ff83831ca3","2026-05-25T08:09:24.988Z",26474,"P2P Transfer","Bank Transfer"
"3c3501cc-033d-4f5f-892b-02b75bbbb0e1","0eda73de-8967-4101-a1b8-0c5f6e001c79","2026-05-25T12:11:36.923Z",73269,"Airtime","USSD"
"12c67ef8-43ea-43d4-9bb6-6af7c54e9614","72255d16-e0c0-4b47-8c92-330dee4f6c24","2026-05-25T05:06:51.806Z",25368,"Utility Bill","USSD"
"79478b00-8562-449e-a1b0-76a93f1c8e6e","0b947051-25cf-4330-b1bc-3cfe9686fdee","2026-05-25T12:21:34.268Z",141318,"P2P Transfer","USSD"
"3a084590-4a96-4a1a-af03-98b1ea27019c","3d023e13-3296-444d-b861-5cbd4b83ffe1","2026-05-25T10:14:28.555Z",58320,"Utility Bill","Bank Transfer"
"ec4eac59-fd91-4040-b009-f50bb39e9adf","e82c9974-8c3d-4810-a928-c96c34ba18d0","2026-05-25T05:03:02.051Z",137184,"P2P Transfer","Bank Transfer"
"71e6258c-8f48-4285-b098-b9a52e6d752e","a14ce860-48d4-4075-9b18-37eb8098afc2","2026-05-25T12:42:14.093Z",15670,"P2P Transfer","USSD"
"41df1488-813c-4de3-aca5-5a3f45f69a9f","1326dd97-629a-4181-9e13-4b987ed887e1","2026-05-24T18:19:43.964Z",66448,"Utility Bill","USSD"
"77cc3901-5ceb-4017-b131-97805ababc5f","8251e488-3edc-4775-be84-a7904a13c83d","2026-05-25T15:10:42.976Z",35451,"Utility Bill","Cards"
"c0bc756b-dd4a-4231-90b8-e06009dd4c54","7ace4527-70ea-442e-939f-d7a9b0c01566","2026-05-25T03:38:37.400Z",77720,"P2P Transfer","USSD"
"42af22fd-01c6-4229-91e2-1dbbe71cc8b1","a010792c-63a7-4f45-b270-8f098188148c","2026-05-25T08:23:04.806Z",87696,"P2P Transfer","Cards"
"1d6411ea-3010-4b6b-bcd6-9da4efa91321","86c31e63-99ac-4477-be26-e1c9e6c2b054","2026-05-25T15:09:41.013Z",96011,"Utility Bill","USSD"
"c8d56527-f659-48e7-a302-89f3a4adfad0","852c0a4e-3c0d-4f00-8701-d27b1a327896","2026-05-25T04:26:58.832Z",38885,"Utility Bill","Bank Transfer"
"307cc685-6ad5-40f8-9edd-4bdac4b8d3e3","c3f59aa1-8344-4a62-84d4-e91879358240","2026-05-25T06:24:30.170Z",22574,"Airtime","Bank Transfer"
"02fdf480-afdf-4036-9048-7dcf315fee70","0a743347-00ff-422c-9c97-75b849faf13f","2026-05-24T19:56:59.783Z",69651,"Airtime","Bank Transfer"
"f1111fbe-ba94-4355-9b2d-7b7ab307535c","ef51ff6b-e0be-45ca-a740-8f8940f96523","2026-05-24T17:08:53.573Z",100359,"Betting Wallet Top-up","Bank Transfer"
"fe404acc-49b6-4880-975e-0fc5698d98db","fad29c25-51f0-4e3f-9655-98a04c2cc111","2026-05-24T21:34:08.966Z",115479,"Betting Wallet Top-up","USSD"
"6fd0fed7-e48f-4bf1-890c-9e2f396d7c39","b816e219-8f58-42d9-9693-b1907a7192bc","2026-05-25T12:07:36.979Z",11199,"Airtime","Bank Transfer"
"2654f74f-b566-4a80-bcfa-6607e21d1a98","2f8dafb0-00ff-40ee-b061-24a3960eadac","2026-05-25T05:52:05.401Z",67937,"P2P Transfer","Cards"
"55102019-4296-4879-abcf-e8130eb7b349","ff6c18d7-6fd2-4bd6-97fa-728c567e0a0c","2026-05-25T01:12:44.391Z",121782,"Airtime","USSD"
"f23b7e0c-22e8-4a57-9182-e487f23ce5be","1ac28478-4eca-4aec-b201-66db02afc0cf","2026-05-25T11:47:08.054Z",101461,"P2P Transfer","USSD"
"74edc2cd-1e98-49e7-9b31-8440e7349c63","de3ee89f-3711-4b19-8057-da06cde6d04f","2026-05-24T23:12:30.904Z",120994,"Airtime","Bank Transfer"
"f7ab3c2c-cbbf-4aa9-b192-19126dbf3f78","6b0a7df7-3f7b-410f-8274-ec52f1a74ff3","2026-05-25T12:14:59.294Z",12940,"Utility Bill","Cards"
"4b9bb2a8-a34d-454e-912b-0aa37da165f3","99d085cd-90b8-4efc-a463-8ec0cfc94dd5","2026-05-25T00:38:01.173Z",132890,"Airtime","USSD"
