user_id,signup_date,location,signup_channel,age_group
"687cc0b3-b049-4313-ab78-65b7bcae9297","2024-12-14T18:09:22.576Z","Lagos","Android","35-44"
"ae11dad6-5f14-4fda-bf4b-8e33798be995","2025-05-05T23:55:21.057Z","Kaduna","iOS","35-44"
"a5c3f7e5-7b23-4930-aeb6-6f45a45bcf89","2024-08-27T19:23:16.621Z","Kano","Web","35-44"
"3d9570fc-f645-4084-bf1d-c8ff83831ca3","2024-07-04T13:28:07.297Z","Kaduna","Android","25-34"
"dc882484-a1eb-42fc-bda5-0000c5deeb2d","2026-01-08T07:56:31.441Z","Kaduna","iOS","45+"
"0eda73de-8967-4101-a1b8-0c5f6e001c79","2024-06-24T04:50:43.956Z","Abuja","Web","25-34"
"72255d16-e0c0-4b47-8c92-330dee4f6c24","2025-03-26T12:49:05.155Z","Kaduna","Web","25-34"
"0b947051-25cf-4330-b1bc-3cfe9686fdee","2025-02-14T04:38:40.883Z","Jos","iOS","35-44"
"3d023e13-3296-444d-b861-5cbd4b83ffe1","2024-07-31T15:55:34.510Z","Ilorin","Web","18-24"
"ca100fbd-1226-409d-ad01-c42f61d51d19","2024-10-15T15:56:15.266Z","Kano","Android","18-24"
"e82c9974-8c3d-4810-a928-c96c34ba18d0","2025-04-14T13:53:43.525Z","Lagos","iOS","25-34"
"a14ce860-48d4-4075-9b18-37eb8098afc2","2025-08-18T10:38:03.844Z","Kano","Android","18-24"
"1326dd97-629a-4181-9e13-4b987ed887e1","2024-11-06T02:36:25.554Z","Port Harcourt","Android","35-44"
"8251e488-3edc-4775-be84-a7904a13c83d","2025-06-09T18:19:57.738Z","Ibadan","Android","45+"
"93f67fe5-c199-49b5-b8f1-f1e1eadcb42a","2025-10-13T20:47:21.208Z","Abuja","Android","35-44"
"7ace4527-70ea-442e-939f-d7a9b0c01566","2024-09-01T07:31:49.994Z","Abuja","iOS","18-24"
"be6d900b-1860-4b01-918b-a8ea7a373f0f","2024-08-12T19:47:27.329Z","Benin City","iOS","45+"
"a010792c-63a7-4f45-b270-8f098188148c","2025-02-27T14:10:27.625Z","Kano","Web","25-34"
"86c31e63-99ac-4477-be26-e1c9e6c2b054","2025-09-05T01:36:42.472Z","Port Harcourt","Android","45+"
"80b59718-ac4a-4af1-b03d-8fd2f751c34c","2026-04-12T20:37:59.091Z","Enugu","Web","35-44"
"852c0a4e-3c0d-4f00-8701-d27b1a327896","2026-01-27T08:39:51.707Z","Port Harcourt","Android","18-24"
"c3f59aa1-8344-4a62-84d4-e91879358240","2026-04-02T17:10:25.951Z","Kaduna","iOS","18-24"
"b058718f-65cc-4a9d-a7f8-adba80c9b5e2","2025-05-27T03:59:38.764Z","Kaduna","iOS","18-24"
"b3390264-2f36-4443-bf52-b544c59fac9d","2024-12-03T17:39:12.860Z","Ilorin","Android","25-34"
"0a743347-00ff-422c-9c97-75b849faf13f","2024-10-13T09:27:51.999Z","Port Harcourt","Web","18-24"
"ef51ff6b-e0be-45ca-a740-8f8940f96523","2026-05-10T05:55:42.791Z","Benin City","Android","18-24"
"6471001d-c0df-47e7-aa32-2b5e9c9b9558","2025-12-23T18:53:19.462Z","Kaduna","Web","45+"
"c9416eac-582f-4e0b-8a96-34dfc2cf202c","2024-11-26T06:26:23.608Z","Lagos","Android","18-24"
"fad29c25-51f0-4e3f-9655-98a04c2cc111","2025-05-16T22:56:58.559Z","Port Harcourt","iOS","25-34"
"b816e219-8f58-42d9-9693-b1907a7192bc","2024-07-04T11:41:03.760Z","Kaduna","Web","45+"
"2f8dafb0-00ff-40ee-b061-24a3960eadac","2026-01-29T14:31:07.710Z","Kano","Web","45+"
"a416d72a-a596-4fe1-b64b-49032bd4bd06","2025-08-03T08:07:55.224Z","Port Harcourt","Android","18-24"
"ff6c18d7-6fd2-4bd6-97fa-728c567e0a0c","2024-08-22T01:59:01.659Z","Abuja","iOS","45+"
"1ac28478-4eca-4aec-b201-66db02afc0cf","2024-07-27T20:39:53.780Z","Jos","iOS","25-34"
